Date,Code,Description,Unit of Measure,Value
1993/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.85
1993/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.29
1993/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.07
1993/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.51
1993/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.2
1994/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.07
1994/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.56
1994/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.73
1994/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.97
1994/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.02
1994/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.11
1994/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.83
1994/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.62
1994/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.59
1994/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.65
1994/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.62
1994/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.48
1995/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.72
1995/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.61
1995/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.54
1995/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.63
1995/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.99
1995/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.74
1995/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.59
1995/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.89
1995/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.44
1995/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.07
1995/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.36
1995/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.52
1996/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.68
1996/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.04
1996/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.95
1996/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.62
1996/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.31
1996/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.52
1996/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.14
1996/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.51
1996/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.13
1996/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.52
1996/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.93
1996/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.95
1997/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.65
1997/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.84
1997/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.97
1997/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.05
1997/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.92
1997/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.62
1997/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.19
1997/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.15
1997/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.07
1997/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.94
1997/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.43
1997/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.01
1998/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.52
1998/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.34
1998/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.08
1998/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,12.65
1998/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,13.18
1998/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.48
1998/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.93
1998/08,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,17.25
1998/09,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,18.38
1998/10,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.5
1998/11,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.02
1998/12,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.42
1999/01,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,16.26
1999/02,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.19
1999/03,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.71
1999/04,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.68
1999/05,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,15.21
1999/06,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.93
1999/07,KBP2002M,Yield on bonds traded on the stock exchange: Government      bonds - Nominal yield: 5 to 10 years,Percentage,14.79
